Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-02-17 22:00:00,10863.01,10864.26,10774.15,10822,197.17,2137087.83,10838.81
2018-02-17 22:30:00,10822.07,10988,10822.03,10965.69,1005.13,11001358.01,10945.17
2018-02-17 23:00:00,10966,11135.83,10959.24,11093.97,879.15,9692213.49,11024.51
2018-02-17 23:30:00,11093,11124,11017.1,11101,217.55,2409963,11077.66
2018-02-18 00:00:00,11101,11111,11000,11057.25,250.13,2769313.43,11071.32
2018-02-18 00:30:00,11058.98,11159.81,11038.75,11139.03,316.4,3512886.49,11102.58
2018-02-18 01:00:00,11160.99,11240,11114,11240,416.69,4658877.45,11180.74
2018-02-18 01:30:00,11230.39,11300,11187.3,11229.99,408.83,4597847.14,11246.25
2018-02-18 02:00:00,11229.6,11262.75,11149.44,11239.05,402.84,4510059.41,11195.77
2018-02-18 02:30:00,11239.05,11300,11127.12,11137.9,297.77,3347790.48,11242.77
2018-02-18 03:00:00,11137.4,11177.89,10942.91,11001.91,447.74,4950466.43,11056.6
2018-02-18 03:30:00,11004.59,11055.41,10830,10890.01,416.54,4554956.73,10935.11
2018-02-18 04:00:00,10890.01,10942,10821.79,10912.15,279.13,3039855.37,10890.31
2018-02-18 04:30:00,10912.15,10999.82,10855.02,10943.95,314.56,3432745.41,10912.98
2018-02-18 05:00:00,10943.97,10969.61,10577.7,10634.87,885.67,9530923.97,10761.25
2018-02-18 05:30:00,10640.13,10690,10501,10501,790.52,8371185.45,10589.49
2018-02-18 06:00:00,10501,10694.13,10488.13,10693.86,386.95,4092501.18,10576.35
2018-02-18 06:30:00,10693.87,10700,10409.86,10461.8,395.25,4163600.37,10533.98
2018-02-18 07:00:00,10479.43,10613.85,10460,10559.08,268.32,2826728.71,10534.88
2018-02-18 07:30:00,10552.99,10673.05,10486.02,10630.45,244.53,2584927.01,10571.04
2018-02-18 08:00:00,10631.75,10672.94,10528.81,10538.6,172.91,1832628.66,10598.81
2018-02-18 08:30:00,10535.06,10555,10332.54,10371.22,626.37,6528135.28,10422.14
2018-02-18 09:00:00,10394.49,10480,10333.01,10392.78,261.65,2720780.49,10398.7
2018-02-18 09:30:00,10384.74,10434.46,10153.15,10172.77,986.95,10138534.76,10272.58
2018-02-18 10:00:00,10172.77,10435.88,10162.91,10410.62,539.75,5574879.51,10328.72
2018-02-18 10:30:00,10410.62,10552.81,10337.03,10540.41,510.17,5333839.8,10455.02
2018-02-18 11:00:00,10541.99,10629.68,10501,10545.03,397.3,4202286.39,10577.08
2018-02-18 11:30:00,10553.23,10675.62,10519.44,10649.13,334.96,3551271.54,10602.16
2018-02-18 12:00:00,10653.26,10653.26,10459.95,10545,274.73,2896113.42,10541.84
2018-02-18 12:30:00,10547.3,10651.01,10455,10601.98,252.34,2660474.2,10543.34
2018-02-18 13:00:00,10585.72,10790.51,10530.27,10759.61,563.16,6044133.18,10732.62
2018-02-18 13:30:00,10773.08,10863.33,10751.46,10763.9,398.24,4305173.27,10810.59
2018-02-18 14:00:00,10763.9,10895,10727.34,10750.1,321.44,3474760.47,10810.14
2018-02-18 14:30:00,10750.12,10830.11,10741.27,10822.91,265.89,2871638.58,10800.11
2018-02-18 15:00:00,10822.92,10925.13,10800,10875.58,345.56,3760536.47,10882.4
2018-02-18 15:30:00,10875.56,10875.56,10673.05,10719.71,250.66,2689270.19,10728.79
2018-02-18 16:00:00,10719.72,10785.5,10540.63,10551.75,633.36,6759574.64,10672.58
2018-02-18 16:30:00,10571.25,10627.68,10475,10606.42,240.54,2534065.44,10534.74
2018-02-18 17:00:00,10623.83,10745.6,10603.22,10660.01,426.05,4559462.34,10701.73
2018-02-18 17:30:00,10658.3,10779.74,10658.3,10779.74,335.21,3590123.53,10710.04
2018-02-18 18:00:00,10757.8,10780,10595.47,10757.36,402.21,4316559.83,10731.97
2018-02-18 18:30:00,10757.42,10840,10732.96,10790,441.39,4764876.79,10795.26
2018-02-18 19:00:00,10791.38,10859.74,10728.1,10854.74,138.57,1493767.04,10779.63
2018-02-18 19:30:00,10859.73,10900,10809.22,10883.86,238.9,2593667.82,10856.78
2018-02-18 20:00:00,10879.98,10890,10796,10861.68,336.37,3646709.41,10841.41
2018-02-18 20:30:00,10863.39,10894.15,10740.01,10791.65,219.65,2377698.42,10825.12
2018-02-18 21:00:00,10804.15,10825.31,10678,10713.17,116.56,1253891.79,10757.18
2018-02-18 21:30:00,10732.57,10818.25,10650,10800.7,142.14,1524202.7,10722.89
2018-02-18 22:00:00,10814.24,10814.24,10703.97,10748.79,80.74,868983.2,10762.13
2018-02-18 22:30:00,10754.38,10773.17,10570,10605.63,213.94,2274368.24,10631.08
2018-02-18 23:00:00,10600,10600,10402.85,10427.57,410.5,4305703.87,10488.9
2018-02-18 23:30:00,10428.08,10544.38,10358,10421.06,223.01,2332143.04,10457.79
2018-02-19 00:00:00,10433.68,10488.37,10307.51,10468.48,337.67,3511891.62,10400.5
2018-02-19 00:30:00,10468.51,10499.04,10336.54,10474.99,213.67,2231259.19,10442.31
2018-02-19 01:00:00,10474.98,10619.88,10420.46,10553.55,208.2,2195888.94,10546.77
2018-02-19 01:30:00,10552,10672.95,10543.66,10665.75,304.46,3233128.17,10619.28
2018-02-19 02:00:00,10665.77,10665.77,10450.04,10496,115.22,1217755.87,10568.59
2018-02-19 02:30:00,10496.63,10642.36,10496.63,10637.16,165.62,1753403.22,10586.85
2018-02-19 03:00:00,10637.15,10680,10582.65,10597.83,68.36,728210.6,10653.09
2018-02-19 03:30:00,10609.77,10619.05,10503.01,10551,74.55,787387.18,10562.23
2018-02-19 04:00:00,10551,10619.05,10529.7,10600.03,27.77,293536.62,10570.68
2018-02-19 04:30:00,10567.75,10619.04,10534.55,10559.47,61.44,650302.64,10584.92
2018-02-19 05:00:00,10548.52,10604,10443.42,10463.1,206.75,2168920.21,10490.66
2018-02-19 05:30:00,10485.97,10493,10400.95,10486.54,114.52,1195615.21,10440.22
2018-02-19 06:00:00,10470.03,10550,10470.03,10518,56.98,599248.63,10516.82
2018-02-19 06:30:00,10519.41,10538.31,10450,10495.62,93.63,981077.08,10478.08
2018-02-19 07:00:00,10483.04,10780.18,10483.04,10780.17,295.2,3146843.24,10659.89
2018-02-19 07:30:00,10780.18,10861.24,10780.18,10835,404.42,4373045.71,10813.22
2018-02-19 08:00:00,10831.5,10864,10723.3,10834.74,215.49,2325805.83,10793.06
2018-02-19 08:30:00,10834.78,10866.11,10776.08,10798.93,130.79,1415485.64,10822.9
2018-02-19 09:00:00,10814.97,10836.99,10730.08,10748,144.37,1556642.44,10782.21
2018-02-19 09:30:00,10748,10968.87,10727.59,10929.25,450.6,4900997.73,10876.63
2018-02-19 10:00:00,10935,11068.63,10926.85,10978.34,485.11,5328950.07,10985.01
2018-02-19 10:30:00,10967.77,11000,10906.76,10919.15,210.99,2308712.49,10942.39
2018-02-19 11:00:00,10908.92,10999.91,10886.29,10924.99,88,962641.97,10938.76
2018-02-19 11:30:00,10924.98,10985.25,10850,10964,212.95,2326238.11,10923.95
2018-02-19 12:00:00,10983.39,11044.68,10908.48,10970.79,340.83,3738668.04,10969.39
2018-02-19 12:30:00,10978.11,10978.9,10870,10911.57,163.01,1779272.34,10915.07
2018-02-19 13:00:00,10911.57,10942.67,10855.66,10908.6,110.16,1201381.84,10905.63
2018-02-19 13:30:00,10908.7,10978.11,10876.62,10970,122.49,1339348.5,10934.1
2018-02-19 14:00:00,10969.9,11028,10943.13,10978.25,166.65,1832704.89,10997.54
2018-02-19 14:30:00,10984.3,10995.22,10900,10948,282.46,3088295.27,10933.6
2018-02-19 15:00:00,10955,11180.32,10955,11158.27,546.21,6045521.64,11068.12
2018-02-19 15:30:00,11162.67,11218.03,11105.78,11170.01,369.3,4122993.23,11164.27
2018-02-19 16:00:00,11170.1,11249,11114.41,11201.28,349.8,3909821.19,11177.19
2018-02-19 16:30:00,11205.51,11262.48,11061.79,11089.99,358.12,4001202.25,11172.86
2018-02-19 17:00:00,11089.99,11115,10948.84,11065,516.83,5690802.16,11011.08
2018-02-19 17:30:00,11065,11080.75,10901.65,10921.89,294.86,3239495.54,10986.48
2018-02-19 18:00:00,10943.99,11102.34,10932.14,11065.93,276.45,3048207.15,11026.3
2018-02-19 18:30:00,11045,11135.84,10973.66,11102.81,131,1449395.52,11064.29
